,Sample,Reading,PCarbon
0,blank,9.5,0.0
1,kj1,8.0,1.231578947368421
2,kj2,8.6,0.7389473684210529
3,kj3,8.0,1.231578947368421
4,kj4,9.0,0.4105263157894737
5,kj5,8.8,0.5747368421052625
6,H1,8.2,1.0673684210526322
7,H2,8.7,0.6568421052631584
8,H3,9.2,0.24631578947368477
9,H4,9.3,0.1642105263157889
10,H5,9.2,0.24631578947368477
11,Hb1,8.9,0.49263157894736814
12,Hb2,8.9,0.49263157894736814
13,Hb3,9.4,0.08210526315789445
14,Hb4,9.1,0.3284210526315792
15,Hb5,9.3,0.1642105263157889
16,k1,8.5,0.8210526315789474
17,k2,8.4,0.9031578947368418
18,k3,8.6,0.7389473684210529
19,k4,9.1,0.3284210526315792
20,k5,9.2,0.24631578947368477
