Location,Bulk Density,Sand,Silt,Clay,Moisture,pH,EC,Organic Carbon,Nitrogen,CEC
Karamjol2,1.52,4.96,52.95,42.07,38.49,8.48,3.12,0.74,0.09,28.3
Karamjol3,1.39,3.95,55.06,40.98,36.36,8.51,2.7,0.52,0.09,28.11
Karamjol4,1.39,5.77,52.83,41.39,39.76,8.5,2.98,0.46,0.08,29.73
Karamjol5,1.46,5.41,56.06,38.52,40.12,8.58,2.64,0.35,0.07,27.71
Harbaria1,1.52,6.4,55.42,38.17,32.82,8.33,3.79,0.89,0.14,27.15
Harbaria2,1.48,8.42,55.17,36.4,32.67,8.2,3.48,0.71,0.13,27.1
Harbaria3,1.4,3.88,61.22,34.88,34.92,8.51,3.19,0.47,0.09,26.86
Harbaria4,1.49,3.9,65.71,30.38,37.57,8.39,3.38,0.37,0.08,25.5
Harbaria5,1.37,3.93,60.93,35.12,38.02,8.45,3.27,0.28,0.06,29.87
Katka1,1.58,5.66,43.26,51.07,38.1,7.95,6.42,0.81,0.11,30
Katka2,1.44,3.27,48.74,47.98,37.48,8.01,6.52,0.69,0.1,28.97
Katka3,1.58,4.52,54.34,41.13,47.9,8.61,6.11,0.57,0.09,29.41
Katka4,1.24,3.92,50.01,46.05,44.91,8.48,5.81,0.39,0.09,28.55
Katka5,1.26,3.18,54.31,42.5,46.3,8.75,5.97,0.25,0.07,27.92
Hiron Point1,1.55,11.41,50.36,38.21,32.82,7.89,7.23,0.78,0.13,26.61
Hiron Point2,1.49,12.68,47.66,39.64,38.92,8.65,6.92,0.59,0.11,26.99
Hiron Point3,1.52,6.43,58.59,34.97,38.96,8.78,7,0.45,0.09,25.48
Hiron Point4,1.51,6.39,61.86,31.74,36.07,8.86,6.45,0.31,0.08,25.1
Hiron Point5,1.31,8.83,62.68,28.48,41.82,8.74,6.46,0.2,0.07,25
Munshiganj1,1.41,5.94,40.11,53.95,31.82,8.1,4.78,1.57,0.15,32.17
Munshiganj2,1.38,4.39,41.79,53.82,33.67,8.29,4.38,1.61,0.14,32.1
Munshiganj3,1.33,4.11,42.35,53.54,35.92,8.34,4.19,1.76,0.1,30.39
Munshiganj4,1.31,3.8,43.12,53.08,36.59,8.49,4.1,2.07,0.09,30.33
Munshiganj5,1.24,3.14,45.88,50.98,38.32,8.57,3.55,2.22,0.09,29.81
