"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6"
"Sand",-0.712798541423352,0.621306046236538,-0.323928913093967,0.0223131138534413,0.0193395459842393,0.00975717314136132
"Silt",-0.935849176535069,-0.0868561988188789,0.328075806449376,0.0807472369442966,0.0399960195899369,0.0298125287552667
"Clay",0.966970159928648,-0.11918848168972,-0.209603590840871,-0.0590378500069895,-0.0455317581324792,0.0356446575883949
"SOC",0.871543754618714,0.374734903021922,0.285740225825594,0.0807855854433696,-0.108679510155215,-0.000461350622505787
"CEC",0.953793031946393,-0.120660241135891,-0.207236893846698,0.162486723060296,0.0798011047460293,-0.00163608029988917
"Total.N",0.911132113087215,0.291198691875151,0.24962332802257,-0.0843204252350776,0.124952795162855,0.00257940449083718
