Bulk Density,Sand,Silt,Clay,Moisture,pH,EC,OC,OM
1.517,6.4,55.421,38.179,32.828,8.33,3.792,0.892,1.534
1.478,8.429,55.17,36.401,32.671,8.2,3.48,0.717,1.233
1.4,3.888,61.223,34.889,34.923,8.5,3.19,0.473,0.814
1.495,3.902,65.71,30.388,37.57,8.39,3.384,0.376,0.647
1.377,3.936,60.939,35.125,38.023,8.45,3.271,0.287,0.494
