Val,depth,Param
1.57,0-20 cm,Organic Carbon%
1.61,20-40 cm,Organic Carbon%
1.76,40-60 cm,Organic Carbon%
2.07,60-80 cm,Organic Carbon%
2.22,80-100 cm,Organic Carbon%
0.15,0-20 cm,Nitrogen%
0.14,20-40 cm,Nitrogen%
0.1,40-60 cm,Nitrogen%
0.09,60-80 cm,Nitrogen%
0.09,80-100 cm,Nitrogen%
