Location,Carbon,Nitrogen,depth
Karamjol1,0.95,0.1,0-20 cm
Karamjol2,0.74,0.09,20-40 cm
Karamjol3,0.52,0.09,40-60 cm
Karamjol4,0.46,0.08,60-80 cm
Karamjol5,0.35,0.07,80-100 cm
