Val,depth,Param
0.81,0-20 cm,Organic Carbon%
0.69,20-40 cm,Organic Carbon%
0.57,40-60 cm,Organic Carbon%
0.39,60-80 cm,Organic Carbon%
0.25,80-100 cm,Organic Carbon%
0.11,0-20 cm,Nitrogen%
0.1,20-40 cm,Nitrogen%
0.09,40-60 cm,Nitrogen%
0.09,60-80 cm,Nitrogen%
0.07,80-100 cm,Nitrogen%
