Model,MSE,MAE,R2,RMSE
CNN,0.01992566150457949,0.08066176857799294,0.976424721158822,0.14115828528492222
RNN,0.02338845453301601,0.09322343618505531,0.9723276771938868,0.1529328432123591
GRU,0.016148247775455496,0.07774715963026718,0.9808940122758132,0.12707575604912014
LSTM,0.018564354060589667,0.08593702247573272,0.9780353679407747,0.13625106994291702
MA CNN,0.038354134504144065,0.12100665470378266,0.9546208583619955,0.1958421162675283
MA RNN,0.04825462197406806,0.13727559408276446,0.9429069811231694,0.2196693469150124
MA GRU,0.016747959399564694,0.07961631037398348,0.9801844564721366,0.12941390728806812
MA LSTM,0.02319047066779142,0.09836148637864327,0.972561924113501,0.1522841773389193
AE CNN,0.024757180342653857,0.09423560698723629,0.9707082532860826,0.15734414619760678
AE RNN,0.01661771215461325,0.08263200288017593,0.9803385600193297,0.1289097054321871
AE GRU,0.016264929774037647,0.07861935891211035,0.9807559586080999,0.12753403378721168
AE LSTM,0.020537775429849327,0.0882775356123845,0.9757004914278548,0.1433100674406698
MA AE CNN,0.027607889140970895,0.11661390543811853,0.967335403917951,0.16615621908604833
MA AE RNN,0.11967711667901998,0.2814480745844129,0.8584026233724961,0.34594380566649835
MA AE GRU,0.040625206762527524,0.15787630981869166,0.9519338127275232,0.2015569566215156
MA AE LSTM,0.0579767485222436,0.1947964610490534,0.9314041336894829,0.24078361348364966
HY CNN LSTM,0.023849565994557086,0.09082836730198729,0.971782107789318,0.15443304696390953
HY LSTM RNN GRU,0.016907794998626952,0.08211669340936675,0.9799953451186303,0.13002997730764607
HY CNN RNN GRU,0.02632764556984303,0.1074909283505339,0.9688501390331204,0.16225795995834236
HY CNN GRU,0.020063477180157212,0.08473095771339206,0.9762616629346479,0.14164560416813934
HY RNN GRU,0.01934135375874093,0.08585408680554894,0.977116051684237,0.1390731956875261
HY RNN LSTM,0.01901114458421573,0.08323837171619138,0.9775067425209532,0.13788090725048094
MA HY CNN LSTM,0.025966416155148622,0.11119168050380218,0.9692775318288426,0.16114098223341145
MA HY LSTM RNN GRU,0.021641380552868805,0.10032139310923718,0.9743947481530452,0.14711009670606842
MA HY CNN RNN GRU,0.05241197139151372,0.17012392645908728,0.9379881646646059,0.22893660998519594
MA HY CNN GRU,0.026132912257203017,0.10713890582788739,0.9690805400235266,0.16165677300132839
MA HY RNN GRU,0.02124770515708789,0.1013020214252174,0.9748605297897709,0.1457659259123609
MA HY RNN LSTM,0.02981658307395076,0.12548723057947225,0.9647221619268206,0.17267478992010027
