ModelCat,Model,MSE,RMSE
General,CNN,3.551429834562044,1.8845237686381258
General,RNN,0.022717988740699076,0.1507248776436693
General,GRU,0.02322050919310044,0.1523827719694731
General,LSTM,0.01689467882964702,0.12997953234893184
MA,CNN,8.370676658824431,2.893212169686909
MA,RNN,0.0724507094659115,0.2691666945703192
MA,GRU,0.07733193689419401,0.27808620407023793
MA,LSTM,0.16981020811081843,0.4120803418155475
AE,CNN,2.953248599613213,1.7185018474279314
AE,RNN,0.025356593721066065,0.15923753866807305
AE,GRU,0.019667655463839164,0.1402414185033764
AE,LSTM,0.021261775896157336,0.1458141827675118
MA AE,CNN,2.802225900487735,1.6739850359210906
MA AE,RNN,0.04327899549245357,0.208036043733901
MA AE,GRU,0.03858094194628558,0.19642031958604889
MA AE,LSTM,0.11625482216318621,0.3409616139145083
HY,HY CNN LSTM,0.8373177373902185,0.9150506747662768
HY,HY LSTM RNN GRU,0.01569227184865776,0.12526879838434532
HY,HY CNN RNN GRU,0.8387745931799151,0.9158463807756818
HY,HY CNN GRU,0.8377046883779994,0.915262087261348
HY,HY RNN GRU,0.0366845189170302,0.19153203104710764
HY,HY RNN LSTM,0.017997605737649237,0.1341551554642953
MA HY,MA HY CNN LSTM,0.8439439985940234,0.9186642469335701
MA HY,MA HY LSTM RNN GRU,0.13374991606255607,0.36571835620126597
MA HY,MA HY CNN RNN GRU,0.8406049633160589,0.9168451141365476
MA HY,MA HY CNN GRU,0.8815343979034733,0.9389006326036176
MA HY,MA HY RNN GRU,0.19094475460151653,0.43697225838892395
MA HY,MA HY RNN LSTM,0.12207691547279707,0.34939507076202014
